Designator,Mid X,Mid Y,Rotation,Layer
C1,108.458,-33.02,180.0,bottom
C2,108.712,-76.708,180.0,bottom
C3,162.56,-27.432,180.0,bottom
C4,155.686,-23.0,180.0,top
J1,101.450141,-55.454488,180.0,top
J2,101.803288,-25.19,0.0,top
J3,101.32544,-98.508044,180.0,top
J4,101.668542,-68.068436,0.0,top
J5,172.422,-35.277998,90.0,top
J6,156.364056,-71.234004,90.0,top
J7,171.111011,-71.309968,90.0,top
R1,153.162,-37.338,270.0,bottom
R10,111.459,-44.0455,90.0,bottom
R11,108.13951,-87.63,270.0,bottom
R12,111.506,-87.63,90.0,bottom
R2,153.162,-44.704,270.0,bottom
R3,166.116,-44.704,90.0,bottom
R4,166.116,-37.846,90.0,bottom
R5,130.302,-68.58,0.0,bottom
R6,130.302,-60.96,0.0,bottom
R7,130.302,-53.34,0.0,bottom
R8,141.478,-35.553,180.0,bottom
R9,108.458,-44.0455,270.0,bottom
U1,96.274574,-40.269952,180.0,bottom
U2,96.175325,-83.374623,180.0,bottom
U3,159.536959,-38.818127,0.0,top
U4,135.89184,-52.07272,0.0,top
