Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0402,4,100n,C1525
"C5, C6",1206,2,10u,C13585
"J1, J2, J3, J4, J5, J6, J7, J8",IDC-Header_2x05_P2.54mm_Vertical,8,IDC,C429962
J9,2086-1107_300-000_997-607,1,2086-1107/300-000/997-607,C3309486
"R1, R2",0402,2,4.7k,C25900
"R10, R11, R12, R3",0402,4,330,C25104
"R4, R5, R6, R7, R8, R9",0402,6,10k,C25744
"U1, U2, U3, U4",SSOP-24_5.3x8.2mm_P0.65mm,4,TCA9555DBR,C2865317
U7,Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm_ThermalVias,1,LMZM23601V3,C2864948
U8,SN74AHCT125RGYR,1,SN74AHCT125RGYR,C2675532
